Scene Name,Total Samples,Correct,Incorrect,Accuracy (%)
corridor_01,100,2,98,2.00
corridor_02,100,2,98,2.00
corridor_03,100,7,93,7.00
corridor_04,100,8,92,8.00
corridor_05,100,9,91,9.00
corridor_06,100,68,32,68.00
corridor_07,100,1,99,1.00
corridor_08,100,3,97,3.00
corridor_09,100,28,72,28.00
corridor_10,100,6,94,6.00
factory_01,100,65,35,65.00
factory_02,100,6,94,6.00
factory_03,100,0,100,0.00
factory_04,100,2,98,2.00
factory_05,100,4,96,4.00
factory_06,100,22,78,22.00
factory_07,100,16,84,16.00
factory_08,100,54,46,54.00
kitchen_01,100,4,96,4.00
kitchen_02,100,11,89,11.00
kitchen_03,100,6,94,6.00
kitchen_04,100,15,85,15.00
kitchen_05,100,73,27,73.00
kitchen_06,100,8,92,8.00
kitchen_07,100,41,59,41.00
kitchen_08,100,24,76,24.00
lab_01,100,6,94,6.00
lab_02,100,0,100,0.00
lab_03,100,0,100,0.00
lab_04,100,19,81,19.00
lab_05,100,5,95,5.00
lab_06,100,0,100,0.00
lab_07,100,3,97,3.00
lab_08,100,10,90,10.00
lab_09,100,3,97,3.00
lab_10,100,3,97,3.00
lab_11,100,1,99,1.00
lectureroom_01,100,3,97,3.00
lectureroom_02,100,7,93,7.00
lectureroom_03,100,1,99,1.00
lectureroom_04,100,4,96,4.00
lectureroom_05,100,41,59,41.00
lectureroom_06,100,3,97,3.00
lectureroom_07,100,4,96,4.00
lectureroom_08,100,0,100,0.00
lectureroom_09,100,3,97,3.00
lectureroom_10,100,5,95,5.00
livingroom_01,100,1,99,1.00
livingroom_02,100,11,89,11.00
livingroom_03,100,0,100,0.00
livingroom_04,100,0,100,0.00
livingroom_05,100,0,100,0.00
livingroom_06,100,2,98,2.00
livingroom_07,100,21,79,21.00
livingroom_08,100,13,87,13.00
livingroom_09,100,91,9,91.00
livingroom_10,100,40,60,40.00
livingroom_11,100,32,68,32.00
livingroom_12,100,52,48,52.00
livingroom_13,100,33,67,33.00
livingroom_14,100,40,60,40.00
livingroom_15,100,21,79,21.00
meetingroom_01,100,7,93,7.00
meetingroom_02,100,54,46,54.00
meetingroom_03,100,3,97,3.00
meetingroom_04,100,16,84,16.00
meetingroom_05,100,35,65,35.00
meetingroom_06,100,18,82,18.00
meetingroom_07,100,10,90,10.00
meetingroom_08,100,20,80,20.00
office_01,100,9,91,9.00
office_02,100,25,75,25.00
office_03,100,0,100,0.00
office_04,100,5,95,5.00
office_05,100,16,84,16.00
office_06,100,20,80,20.00
office_07,100,22,78,22.00
office_08,100,0,100,0.00
restaurant_01,100,0,100,0.00
restaurant_02,100,1,99,1.00
restaurant_03,100,3,97,3.00
restaurant_04,100,24,76,24.00
restaurant_05,100,6,94,6.00
restaurant_06,100,18,82,18.00
restaurant_07,100,34,66,34.00
restaurant_08,100,0,100,0.00
restaurant_09,100,5,95,5.00
restaurant_10,100,11,89,11.00
restaurant_11,100,11,89,11.00
restaurant_12,100,85,15,85.00
restroom_01,100,24,76,24.00
restroom_02,100,32,68,32.00
storageroom_01,100,0,100,0.00
storageroom_02,100,1,99,1.00
storageroom_03,100,0,100,0.00
storageroom_04,100,0,100,0.00
storageroom_05,100,16,84,16.00
storageroom_06,100,7,93,7.00
storageroom_07,100,45,55,45.00
storageroom_08,100,77,23,77.00
